geo_id,year,deped_id,water,electricity,internet,computers,disability_infrastructure,sanitation_facilities,ss_sanitation_facilities,handwashing_facilities
NIG-003227,2014,EIRMY,1,,,,,1,,
NIG-003228,2014,ETNUB,0,,,,,1,,
NIG-003229,2014,ENVFK,0,,,,,0,,
NIG-003230,2014,EOGGK,0,,,,,0,,
NIG-003231,2014,ENCIE,0,,,,,0,,
NIG-003232,2014,EHLBK,0,,,,,0,,
NIG-003233,2014,EFLPQ,1,,,,,1,,
NIG-003234,2014,EJZOO,0,,,,,0,,
NIG-003235,2014,ERCAF,1,,,,,0,,
NIG-003236,2014,EQQGZ,0,,,,,1,,
NIG-003237,2014,EEKCI,1,,,,,1,,
NIG-003238,2014,EKOCY,0,,,,,1,,
NIG-003239,2014,EIOZS,1,,,,,1,,
NIG-003240,2014,EPIPV,1,,,,,1,,
NIG-003241,2014,EPRFP,1,,,,,1,,
NIG-003242,2014,EHIZW,1,,,,,1,,
NIG-003243,2014,EEIEB,1,,,,,1,,
NIG-003244,2014,EOWFO,0,,,,,0,,
NIG-003245,2014,EIHPT,1,,,,,1,,
NIG-003246,2014,QQVSD,0,,,,,0,,
NIG-003247,2014,EIUJM,1,,,,,1,,
NIG-003248,2014,EHOPT,1,,,,,1,,
NIG-003249,2014,EWPTJ,1,,,,,1,,
NIG-003250,2014,EBTRR,1,,,,,1,,
NIG-003251,2014,EEZEU,0,,,,,1,,
NIG-003252,2014,EVWUY,1,,,,,1,,
NIG-003253,2014,EVJHM,0,,,,,1,,
NIG-003254,2014,EIRKD,1,,,,,1,,
NIG-003255,2014,ESQCV,1,,,,,1,,
NIG-003256,2014,ELPLC,1,,,,,1,,
NIG-003257,2014,EQODJ,1,,,,,1,,
NIG-003258,2014,EEJYZ,0,,,,,1,,
NIG-003259,2014,EZECF,1,,,,,1,,
NIG-003260,2014,ELPDX,0,,,,,0,,
NIG-003261,2014,EKNXW,0,,,,,1,,
NIG-003262,2014,EHCGH,1,,,,,1,,
NIG-003263,2014,EPCRY,1,,,,,1,,
NIG-003264,2014,EWUWW,0,,,,,1,,
NIG-003265,2014,ESMZS,0,,,,,1,,
NIG-003266,2014,ETYBM,0,,,,,0,,
NIG-003267,2014,ECUVK,0,,,,,0,,
NIG-003268,2014,EWPAY,0,,,,,1,,
NIG-003269,2014,EMHZJ,1,,,,,1,,
NIG-003270,2014,ESQIX,1,,,,,1,,
NIG-003271,2014,ENGHN,0,,,,,1,,
NIG-003272,2014,EIAZV,0,,,,,0,,
NIG-003273,2014,EQNFH,1,,,,,1,,
NIG-003274,2014,EUGUW,1,,,,,0,,
NIG-003275,2014,EVNOY,0,,,,,1,,
NIG-003276,2014,FLMQP,0,,,,,0,,
NIG-003277,2014,KPFHY,0,,,,,1,,
NIG-003278,2014,ENEND,1,,,,,1,,
NIG-003279,2014,EDILT,1,,,,,1,,
NIG-003280,2014,EIAAG,1,,,,,1,,
NIG-003281,2014,EMGKH,0,,,,,0,,
NIG-003282,2014,EVLNT,0,,,,,0,,
NIG-003283,2014,EORUU,0,,,,,0,,
NIG-003284,2014,EGREQ,0,,,,,1,,
NIG-003285,2014,EXFKW,0,,,,,0,,
NIG-003286,2014,EENGU,1,,,,,1,,
NIG-003287,2014,EOJVR,1,,,,,0,,
NIG-003288,2014,EMZWN,0,,,,,1,,
NIG-003289,2014,EQHXI,1,,,,,1,,
NIG-003290,2014,EHDSP,0,,,,,0,,
NIG-003291,2014,EDPFH,0,,,,,0,,
NIG-003292,2014,EPSRZ,0,,,,,1,,
NIG-003293,2014,EQZDB,1,,,,,0,,
NIG-003294,2014,VPJNJ,1,,,,,1,,
NIG-003295,2014,EWWWJ,1,,,,,1,,
NIG-003296,2014,EQRKL,0,,,,,1,,
